Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,price,terms,section
167599,Aisle,No,Clothing,No,1500,59.9,shoes,MAN
166421,End-cap,Yes,Clothing,No,2878,79.9,shoes,MAN
129247,Front of Store,Yes,Clothing,No,2386,69.9,shoes,MAN
127314,End-cap,Yes,Clothing,Yes,2076,99.9,shoes,MAN
111979,Front of Store,No,Clothing,No,2734,59.9,shoes,MAN
120354,Aisle,Yes,Clothing,No,2836,59.9,shoes,MAN
144848,Front of Store,No,Clothing,No,2193,89.9,shoes,MAN
111957,Aisle,Yes,Clothing,No,2164,89.9,shoes,MAN
160763,Front of Store,Yes,Clothing,Yes,991,45.9,shoes,MAN
168270,End-cap,Yes,Clothing,Yes,1525,69.9,shoes,MAN
195082,Front of Store,No,Clothing,No,923,69.9,shoes,MAN
110329,Front of Store,No,Clothing,Yes,2397,69.9,shoes,MAN
147449,End-cap,No,Clothing,No,1191,69.9,shoes,MAN
193332,Aisle,Yes,Clothing,No,1237,49.9,shoes,MAN
146804,Aisle,Yes,Clothing,No,1504,69.9,shoes,MAN
188909,Aisle,Yes,Clothing,Yes,2863,39.9,sweaters,WOMAN
165910,End-cap,Yes,Clothing,No,2760,69.9,sweaters,WOMAN
136738,Front of Store,No,Clothing,Yes,542,7.99,sweaters,WOMAN
144497,End-cap,Yes,Clothing,Yes,1105,49.9,sweaters,WOMAN
135036,End-cap,Yes,Clothing,No,1435,49.9,sweaters,WOMAN
166331,Aisle,Yes,Clothing,Yes,2877,59.9,sweaters,WOMAN
139789,Aisle,No,Clothing,Yes,1094,69.9,sweaters,WOMAN
118569,Aisle,No,Clothing,Yes,994,49.9,sweaters,WOMAN
155848,End-cap,Yes,Clothing,No,1942,49.9,sweaters,WOMAN
152563,Front of Store,No,Clothing,Yes,2572,169,sweaters,WOMAN
115153,Aisle,No,Clothing,No,1736,79.9,sweaters,WOMAN
125938,Aisle,Yes,Clothing,Yes,1204,49.9,sweaters,WOMAN
122809,End-cap,No,Clothing,Yes,1592,49.9,sweaters,WOMAN
181502,Front of Store,Yes,Clothing,No,2591,39.9,sweaters,WOMAN
182779,End-cap,Yes,Clothing,Yes,2097,35.9,sweaters,WOMAN
155674,Front of Store,No,Clothing,No,897,49.9,sweaters,WOMAN
182866,Aisle,No,Clothing,Yes,1552,39.9,sweaters,WOMAN
148230,Front of Store,Yes,Clothing,No,2494,59.9,sweaters,WOMAN
126979,Front of Store,No,Clothing,No,2141,49.9,sweaters,WOMAN
135521,End-cap,No,Clothing,Yes,2835,39.9,sweaters,WOMAN
185809,End-cap,No,Clothing,No,622,49.9,sweaters,WOMAN
171520,End-cap,Yes,Clothing,Yes,2901,47.9,sweaters,WOMAN
122926,End-cap,No,Clothing,No,867,45.9,sweaters,WOMAN
150953,Front of Store,Yes,Clothing,Yes,2434,35.9,sweaters,WOMAN
115873,End-cap,Yes,Clothing,Yes,2606,59.9,sweaters,WOMAN
115581,Aisle,No,Clothing,Yes,2728,47.9,sweaters,WOMAN
183634,Front of Store,Yes,Clothing,Yes,2778,27.9,sweaters,WOMAN
122484,Aisle,Yes,Clothing,Yes,558,47.9,sweaters,WOMAN
183574,Aisle,Yes,Clothing,Yes,1752,47.9,sweaters,WOMAN
185307,Front of Store,No,Clothing,Yes,2743,7.99,sweaters,WOMAN
118719,End-cap,No,Clothing,Yes,1669,45.9,sweaters,WOMAN
134788,Front of Store,No,Clothing,No,2179,45.9,sweaters,WOMAN
140142,Front of Store,Yes,Clothing,No,606,49.9,sweaters,WOMAN
153997,End-cap,No,Clothing,Yes,1608,45.9,sweaters,WOMAN
123230,Aisle,No,Clothing,Yes,880,69.9,jackets,MAN
154676,Aisle,No,Clothing,No,943,69.9,jackets,MAN
152985,Aisle,Yes,Clothing,Yes,1049,89.9,jackets,MAN
175584,Front of Store,No,Clothing,No,2084,69.9,jeans,MAN
147491,End-cap,No,Clothing,No,1563,59.9,jeans,MAN
198283,End-cap,Yes,Clothing,Yes,1558,69.9,jeans,MAN
141547,End-cap,No,Clothing,No,1426,69.9,jeans,MAN
156342,Front of Store,Yes,Clothing,Yes,1466,109,jeans,MAN
186083,End-cap,No,Clothing,Yes,624,49.9,jeans,MAN
171776,Aisle,Yes,Clothing,No,1685,12.99,jeans,MAN
134429,Aisle,No,Clothing,No,2914,69.9,jeans,MAN
172816,Aisle,No,Clothing,Yes,1524,69.9,sweaters,MAN
136272,End-cap,No,Clothing,Yes,2887,12.99,sweaters,MAN
193227,End-cap,Yes,Clothing,Yes,1778,69.9,sweaters,MAN
165786,End-cap,No,Clothing,Yes,1278,59.9,sweaters,MAN
174708,Front of Store,No,Clothing,Yes,529,59.9,sweaters,MAN
142257,Aisle,Yes,Clothing,Yes,1180,19.9,t-shirts,MAN
126146,Aisle,No,Clothing,No,2759,39.9,t-shirts,MAN
129134,Aisle,No,Clothing,Yes,1831,29.9,t-shirts,MAN
129898,End-cap,No,Clothing,No,1866,39.9,t-shirts,MAN
189692,End-cap,Yes,Clothing,No,1553,39.9,t-shirts,MAN
154846,End-cap,Yes,Clothing,No,917,39.9,t-shirts,MAN
122307,End-cap,No,Clothing,No,702,49.9,t-shirts,MAN
182099,Aisle,Yes,Clothing,No,1978,39.9,t-shirts,MAN
159816,Front of Store,No,Clothing,Yes,1961,27.9,t-shirts,MAN
165326,Aisle,No,Clothing,No,1188,45.9,t-shirts,MAN
185154,Aisle,Yes,Clothing,No,996,39.9,t-shirts,MAN
141330,Aisle,No,Clothing,Yes,1915,39.9,t-shirts,MAN
158958,End-cap,No,Clothing,No,903,45.9,t-shirts,MAN
155010,Aisle,Yes,Clothing,Yes,729,45.9,t-shirts,MAN
135857,Aisle,No,Clothing,Yes,2045,45.9,t-shirts,MAN
147690,Aisle,Yes,Clothing,No,881,39.9,t-shirts,MAN
130321,End-cap,Yes,Clothing,No,2093,39.9,t-shirts,MAN
196752,End-cap,No,Clothing,No,2227,45.9,t-shirts,MAN
181011,Aisle,Yes,Clothing,Yes,994,89.9,shoes,MAN
139967,End-cap,No,Clothing,No,2634,69.9,t-shirts,MAN
162699,End-cap,No,Clothing,Yes,2732,89.9,sweaters,MAN
119044,Aisle,No,Clothing,Yes,1140,169,sweaters,MAN
121348,End-cap,No,Clothing,Yes,1008,169,t-shirts,MAN
163982,Front of Store,No,Clothing,No,2685,69.9,t-shirts,MAN
185774,End-cap,Yes,Clothing,Yes,1145,19.99,t-shirts,MAN
144651,Aisle,Yes,Clothing,No,1791,139,t-shirts,MAN
195103,Aisle,Yes,Clothing,No,2849,109,t-shirts,MAN
123047,Aisle,No,Clothing,Yes,2985,109,t-shirts,MAN
123077,Front of Store,No,Clothing,No,1603,109,t-shirts,MAN
171860,Aisle,Yes,Clothing,No,707,109,t-shirts,MAN
149487,Aisle,No,Clothing,Yes,1258,99.9,t-shirts,MAN
168516,Front of Store,Yes,Clothing,No,2168,89.9,t-shirts,MAN
177771,End-cap,Yes,Clothing,Yes,1764,69.9,t-shirts,MAN
172015,End-cap,Yes,Clothing,Yes,2622,139,t-shirts,MAN
118985,Aisle,No,Clothing,Yes,694,139,t-shirts,MAN
112194,Aisle,Yes,Clothing,Yes,2187,109,jackets,MAN
113435,Aisle,No,Clothing,Yes,2973,129,jackets,MAN
159182,Front of Store,Yes,Clothing,No,1014,169,jackets,MAN
199233,Aisle,Yes,Clothing,No,2222,159,jackets,MAN
137044,Aisle,No,Clothing,Yes,2534,12.99,jackets,MAN
154736,Front of Store,Yes,Clothing,Yes,1466,19.9,jackets,MAN
141434,Front of Store,No,Clothing,Yes,2870,39.9,jackets,MAN
